ticker,exchange,name,tv_symbol,tv_name,tv_exchange,tv_type,tv_subtype,tv_isin,tv_asset_class,category_update,decision
D28G,LSE,ISHARES V PLC ISH IBONDS DEC 2028 TRM $ CRP GBP H,D28G,iShares iBonds Dec 2028 Term USD Corp UCITS ETF Hedged GBP,LSE,fund,etf,IE000VVQWC23,b6e443a6c4a8a2e7918c5dbf3d45c796,,name_mismatch
DABS,NYSE ARCA,DoubleLine ETF Trust,DABS,Doubleline ABS ETF,AMEX,fund,etf,US25861R8088,b6e443a6c4a8a2e7918c5dbf3d45c796,,name_mismatch
DESK,NYSE ARCA,VanEck ETF Trust,DESK,VanEck Office and Commercial REIT ETF,AMEX,fund,etf,US92189H7145,c05f85d35d1cd0be6ebb2af4be16e06a,,name_mismatch
DFNX,LSE,INVESCO MARKETS II PLC INVESCO,DFNX,Invesco Defence Innovation UCITS ETF AccumUSD,LSE,fund,etf,IE000BRM9046,c05f85d35d1cd0be6ebb2af4be16e06a,,name_mismatch
DHLX,NYSE ARCA,Diamond Hill Funds,DHLX,Diamond Hill Large Cap Concentrated ETF,AMEX,fund,etf,US25264S3206,c05f85d35d1cd0be6ebb2af4be16e06a,,name_mismatch
DN1,ASX,DOMINION INCOME TRUST 1,DN1,Dominion Income Trust 1,ASX,stock,common,AU0000381113,,,asset_type_mismatch
DSCF,BATS,Discipline Fund ETF,,,,,,,,,no_tradingview_match
DSPY,NYSE ARCA,Tema ETF Trust,DSPY,Tema S&P 500 Historical Weight ETF Strategy,AMEX,fund,etf,US87975E8268,c05f85d35d1cd0be6ebb2af4be16e06a,,name_mismatch
DWAW,NASDAQ,AdvisorShares Dorsey Wright FSM All Cap World ETF,DWAW,AdvisorShares Dorsey Wright FSM All Cap World ETF,NASDAQ,fund,etf,US00768Y4796,c05f85d35d1cd0be6ebb2af4be16e06a,Equity,accept
DXID,TSX,Dynamic Active Innovation and Disruption ETF,DXID,Dynamic Active Innovation and Disruption ETF Trust Units,TSX,fund,etf,CA26786C2076,c05f85d35d1cd0be6ebb2af4be16e06a,Equity,accept
EBI,NASDAQ,Longview Advantage ETF,EBI,Longview Advantage ETF,NASDAQ,fund,etf,US75526L8524,c05f85d35d1cd0be6ebb2af4be16e06a,Equity,accept
EBRK11,B3,INVESTO BLUESTAR US LISTED E-BROKERS ETF FDO INV,,,,,,,,,no_tradingview_match
EDGX,NYSE ARCA,Global X U.S. 500 Income Edge ETF,EDGX,Global X U.S. 500 Income Edge ETF,AMEX,fund,etf,US37966B8853,c05f85d35d1cd0be6ebb2af4be16e06a,Equity,accept
EGGY,NYSE ARCA,NestYield Dynamic Income ETF,EGGY,NestYield Dynamic Income ETF,AMEX,fund,etf,US45259A7871,c05f85d35d1cd0be6ebb2af4be16e06a,Equity,accept
EGV2,XETRA,Lyxor Smart Overnight Return ETF D EUR,EGV2,Amundi Smart Overnight Return UCITS ETF D EUR Distribution,XETR,fund,etf,LU2082999306,b6e443a6c4a8a2e7918c5dbf3d45c796,Fixed Income,accept
EIRE.P,TSXV,Monaghan Capital Fund Ltd.,EIRE.P,Monaghan Capital Fund Ltd,TSXV,stock,common,CA6090021008,,,asset_type_mismatch
EMPB,NYSE ARCA,Efficient Market Portfolio Plus ETF,EMPB,Efficient Market Portfolio Plus ETF Trust Units,AMEX,fund,etf,US02072Q8877,b090e99b8d95f5837ec178c2d3d3fc50,,unsupported_asset_class
ETC.U,TSX,Evolve Cryptocurrencies ETF,ETC.U,Evolve Cryptocurrencies ETF Unhedged Units USD (Canada),TSX,fund,etf,CA3005341043,1af0389838508d7016a9841eb6273962,,name_mismatch
FBDC,NYSE ARCA,FT Confluence BDC & Specialty Finance Income ETF,FBDC,FT Confluence BDC & Specialty Finance Income ETF,AMEX,fund,etf,US33744U3032,c05f85d35d1cd0be6ebb2af4be16e06a,Equity,accept
FEU,NYSE ARCA,SPDR STOXX Europe 50 ETF,,,,,,,,,no_tradingview_match
FFND,NYSE ARCA,One Global ETF,FFND,One Global ETF,AMEX,fund,etf,US66538F2314,c05f85d35d1cd0be6ebb2af4be16e06a,Equity,accept
FINO,TSX,Franklin Innovation Fund ETF,FINO,Franklin Innovation Fund,TSX,fund,etf,CA35361L2012,c05f85d35d1cd0be6ebb2af4be16e06a,Equity,accept
FMED,NASDAQ,Fidelity Disruptive Medicine ETF,FMED,Fidelity Disruptive Medicine ETF,NASDAQ,fund,etf,US3160921470,c05f85d35d1cd0be6ebb2af4be16e06a,Equity,accept
FMKT,NYSE ARCA,The Free Markets ETF,FMKT,Free Markets ETF,AMEX,fund,etf,US8863641408,c05f85d35d1cd0be6ebb2af4be16e06a,Equity,accept
