ticker,exchange,name,tv_symbol,tv_name,tv_exchange,tv_type,tv_sector,tv_industry,sector_update,decision
1A1,SGX,Wong Fong Ind,1A1,Wong Fong Industries Limited,SGX,stock,Distribution Services,Wholesale Distributors,,name_mismatch
1AST,XETRA,ASTA Energy Solutions AG,1AST,Asta Energy Solutions AG,XETR,stock,Distribution Services,Wholesale Distributors,Industrials,accept
1AZ,SGX,Audience,1AZ,Audience Analytics Limited,SGX,stock,Commercial Services,Miscellaneous Commercial Services,,name_mismatch
1B6,SGX,Ocean Sky Intl,1B6,Ocean Sky International Limited,SGX,stock,Industrial Services,Engineering & Construction,,name_mismatch
1C0,SGX,ETC Singapore,1C0,Emerging Towns & Cities Singapore Ltd,SGX,stock,Finance,Real Estate Development,,name_mismatch
1D3,SGX,Autagco,1D3,Autagco Ltd.,SGX,stock,Consumer Services,Restaurants,Consumer Discretionary,accept
1D4,SGX,Aoxin Q & M,1D4,Aoxin Q&M Dental Group Ltd.,SGX,stock,Health Services,Medical/Nursing Services,,name_mismatch
1E3,SGX,Sanli Env,1E3,Sanli Environmental Ltd.,SGX,stock,Industrial Services,Engineering & Construction,,name_mismatch
1H3,SGX,Clearbridge,1H3,Clearbridge Health Ltd.,SGX,stock,Health Services,Hospital/Nursing Management,,name_mismatch
1H8,SGX,LY Corp,1H8,LY Corporation Limited,SGX,stock,Consumer Durables,Home Furnishings,,name_mismatch
1INN,XETRA,INNOSCRIPTA SE,1INN,Innoscripta AG,XETR,stock,Technology Services,Packaged Software,Information Technology,accept
1J4,SGX,JEP,1J4,JEP Holdings Ltd.,SGX,stock,Producer Manufacturing,Industrial Machinery,,name_mismatch
1SN,LSE,First Tin PLC,1SN,First Tin Plc,LSE,stock,Non-Energy Minerals,Other Metals/Minerals,Materials,accept
1SXP,XETRA,SCHOTT Pharma AG & Co. KGaA,1SXP,SCHOTT Pharma AG & Co. KGaA,XETR,stock,Health Technology,Medical Specialties,Health Care,accept
1U8,SGX,RichCapital,1U8,Rich Capital Holdings Limited,SGX,stock,Finance,Real Estate Development,,name_mismatch
1Y1,SGX,9R,1Y1,9R Limited,SGX,stock,Producer Manufacturing,Industrial Machinery,,name_mismatch
2062,TWSE,橋椿金屬股份有限公司,2062,Sunspring Metal Corporation,TWSE,stock,Non-Energy Minerals,Other Metals/Minerals,,name_mismatch
2100,TADAWUL,WAFRAH,2100,Wafrah for Industry & Development,TADAWUL,stock,Consumer Non-Durables,Food: Specialty/Candy,,name_mismatch
2115,TWSE,六暉控股股份有限公司,2115,Lu Hai Holding Corp.,TWSE,stock,Producer Manufacturing,Auto Parts: OEM,,name_mismatch
2140,TADAWUL,AYYAN,2140,AYYAN Investment Company,TADAWUL,stock,Industrial Services,Engineering & Construction,,name_mismatch
2150,TADAWUL,ZOUJAJ,2150,National Co. for Glass Industries,TADAWUL,stock,Process Industries,Containers/Packaging,,name_mismatch
2190,TADAWUL,SISCO HOLDING,2190,Sustained Infrastructure Holding Company,TADAWUL,stock,Transportation,Other Transportation,,name_mismatch
2200,TADAWUL,APC,2200,Arabian Pipes Co.,TADAWUL,stock,Non-Energy Minerals,Steel,,name_mismatch
2223,TADAWUL,LUBEREF,2223,Saudi Aramco Base Oil Company - Luberef,TADAWUL,stock,Energy Minerals,Integrated Oil,,name_mismatch
2285,TADAWUL,ARABIAN MILLS,2285,Arabian Mills for Food Products Company,TADAWUL,stock,Process Industries,Agricultural Commodities/Milling,,name_mismatch
2287,TADAWUL,ENTAJ,2287,Arabian Company for Agricultural and Industrial Investment,TADAWUL,stock,Process Industries,Agricultural Commodities/Milling,,name_mismatch
2290,TADAWUL,YANSAB,2290,Yanbu National Petrochemical Co.,TADAWUL,stock,Process Industries,Chemicals: Specialty,,name_mismatch
