isin,listing_key,ticker,exchange,is_primary
AU000000ANZ3,ASX::ANZ,ANZ,ASX,1
AU000000ANZ3,OTC::ANZGY,ANZGY,OTC,0
AU000000ANZ3,FSX::X5Z1,X5Z1,FSX,0
AU000000AON7,ASX::AON,AON,ASX,1
AU000000AON7,FSX::4AP,4AP,FSX,0
AU000000APX3,FSX::433,433,FSX,1
AU000000APX3,OTC::APPEF,APPEF,OTC,0
AU000000AQD3,ASX::AQD,AQD,ASX,1
AU000000AQD3,OTC::AUQSF,AUQSF,OTC,0
AU000000ARB5,ASX::ARB,ARB,ASX,1
AU000000ARB5,FSX::A7W,A7W,FSX,0
AU000000ARD1,ASX::ARD,ARD,ASX,1
AU000000ARD1,OTC::ARDNF,ARDNF,OTC,0
AU000000ARL4,ASX::ARL,ARL,ASX,1
AU000000ARL4,FSX::A91,A91,FSX,0
AU000000ARL4,OTC::ARRRF,ARRRF,OTC,0
AU000000ARU5,ASX::ARU,ARU,ASX,1
AU000000ARU5,OTC::ARAFF,ARAFF,OTC,0
AU000000ARV3,ASX::ARV,ARV,ASX,1
AU000000ARV3,OTC::ARTTF,ARTTF,OTC,0
AU000000ARV3,FSX::ATY,ATY,FSX,0
AU000000ASB3,ASX::ASB,ASB,ASX,1
AU000000ASB3,OTC::AUTLF,AUTLF,OTC,0
AU000000ASB3,FSX::LX6,LX6,FSX,0
AU000000ASB3,XSTU::LX6,LX6,XSTU,0
AU000000ASN8,ASX::ASN,ASN,ASX,1
AU000000ASN8,FSX::9MY,9MY,FSX,0
AU000000ASN8,OTC::ANSNF,ANSNF,OTC,0
AU000000ASP3,ASX::ASP,ASP,ASX,1
AU000000ASP3,FSX::00W,00W,FSX,0
AU000000ASX7,ASX::ASX,ASX,ASX,1
AU000000ASX7,OTC::ASXFF,ASXFF,OTC,0
AU000000ASX7,FSX::AUX,AUX,FSX,0
AU000000ASX7,XSTU::AUX,AUX,XSTU,0
AU000000ATP1,ASX::ATP,ATP,ASX,1
AU000000ATP1,OTC::APCFF,APCFF,OTC,0
AU000000ATS5,ASX::ATS,ATS,ASX,1
AU000000ATS5,OTC::ASTTF,ASTTF,OTC,0
AU000000AUB9,ASX::AUB,AUB,ASX,1
AU000000AUB9,FSX::A5H,A5H,FSX,0
AU000000AUB9,OTC::AUBBF,AUBBF,OTC,0
AU000000AUC7,ASX::AUC,AUC,ASX,1
AU000000AUC7,FSX::AU4,AU4,FSX,0
AU000000AUQ7,ASX::AUQ,AUQ,ASX,1
AU000000AUQ7,FSX::AU5,AU5,FSX,0
AU000000AUR5,ASX::AUR,AUR,ASX,1
AU000000AUR5,OTC::AURMF,AURMF,OTC,0
AU000000AUZ8,ASX::AUZ,AUZ,ASX,1
AU000000AUZ8,OTC::AMSLF,AMSLF,OTC,0
AU000000AUZ8,FSX::MJH,MJH,FSX,0
AU000000AVG6,ASX::AVG,AVG,ASX,1
AU000000AVG6,OTC::AUVGF,AUVGF,OTC,0
AU000000AVG6,FSX::MGE,MGE,FSX,0
AU000000AVL6,ASX::AVL,AVL,ASX,1
AU000000AVL6,OTC::ATVVD,ATVVD,OTC,0
AU000000AVL6,OTC::ATVVF,ATVVF,OTC,0
AU000000AVL6,FSX::JT71,JT71,FSX,0
AU000000AVL6,XSTU::JT71,JT71,XSTU,0
AU000000AXE7,ASX::AXE,AXE,ASX,1
AU000000AXE7,FSX::38A,38A,FSX,0
AU000000AXE7,XSTU::38A,38A,XSTU,0
AU000000AXE7,OTC::ARRXF,ARRXF,OTC,0
AU000000AZJ1,ASX::AZJ,AZJ,ASX,1
