listing_key,ticker,exchange,isin,wkn,figi,cik,lei,figi_source,cik_source,lei_source
SZSE::000635,000635,SZSE,CNE000000N71,,BBG000P6F3J5,,,OpenFIGI,,
SZSE::000636,000636,SZSE,CNE000000GH8,,BBG000P66CY8,,,OpenFIGI,,
SZSE::000637,000637,SZSE,CNE0000000M7,,BBG000P6DZH8,,,OpenFIGI,,
SZSE::000638,000638,SZSE,CNE0000008Y5,,BBG000D3K121,,,OpenFIGI,,
SZSE::000639,000639,SZSE,CNE000000008,,BBG000D47N62,,,OpenFIGI,,
HKEX::00064,00064,HKEX,KYG3926K1296,,BBG000BCSPF8,,,OpenFIGI,,
KRX::000640,000640,KRX,KR7000640003,,BBG000BCRZ67,,,OpenFIGI,,
HKEX::00065,00065,HKEX,KYG4064U1013,,BBG000C0RGW5,,,OpenFIGI,,
KRX::000650,000650,KRX,KR7000650002,,,,,,,
SZSE::000650,000650,SZSE,CNE000000NF8,,,,,,,
SZSE::000651,000651,SZSE,CNE0000001D4,,BBG000P6MJD8,,,OpenFIGI,,
SZSE::000652,000652,SZSE,CNE0000005D5,,BBG000P6KKX5,,,OpenFIGI,,
