listing_key,ticker,exchange,asset_type,isin,instrument_group_key,instrument_scope,scope_reason,primary_listing_key
HKEX::06663,06663,HKEX,Stock,KYG499001066,KYG499001066,core,primary_listing,HKEX::06663
HKEX::06666,06666,HKEX,Stock,KYG3224K1022,KYG3224K1022,core,primary_listing,HKEX::06666
HKEX::06667,06667,HKEX,Stock,KYG5960G1047,KYG5960G1047,core,primary_listing,HKEX::06667
HKEX::06668,06668,HKEX,Stock,KYG3170A1085,KYG3170A1085,core,primary_listing,HKEX::06668
HKEX::06669,06669,HKEX,Stock,KYG0096M1096,KYG0096M1096,core,primary_listing,HKEX::06669
HKEX::06676,06676,HKEX,Stock,KYG9898T1058,KYG9898T1058,core,primary_listing,HKEX::06676
HKEX::06677,06677,HKEX,Stock,KYG816CB1040,KYG816CB1040,core,primary_listing,HKEX::06677
HKEX::06680,06680,HKEX,Stock,CNE1000055Y4,CNE1000055Y4,core,primary_listing,HKEX::06680
HKEX::06681,06681,HKEX,Stock,KYG1300R1083,KYG1300R1083,core,primary_listing,HKEX::06681
HKEX::06682,06682,HKEX,Stock,CNE100005KD7,CNE100005KD7,core,primary_listing,HKEX::06682
HKEX::06683,06683,HKEX,Stock,KYG8443S1093,KYG8443S1093,core,primary_listing,HKEX::06683
HKEX::06686,06686,HKEX,Stock,KYG6542K1269,KYG6542K1269,core,primary_listing,HKEX::06686
HKEX::06687,06687,HKEX,Stock,KYG8123S1066,KYG8123S1066,core,primary_listing,HKEX::06687
HKEX::06690,06690,HKEX,Stock,CNE1000048K8,CNE1000048K8,core,primary_listing,HKEX::06690
HKEX::06693,06693,HKEX,Stock,CNE100006T51,CNE100006T51,core,primary_listing,HKEX::06693
HKEX::06696,06696,HKEX,Stock,KYG5913R1166,KYG5913R1166,core,primary_listing,HKEX::06696
HKEX::06698,06698,HKEX,Stock,KYG8438D1097,KYG8438D1097,core,primary_listing,HKEX::06698
HKEX::06699,06699,HKEX,Stock,KYG0405D1051,KYG0405D1051,core,primary_listing,HKEX::06699
HKEX::06805,06805,HKEX,Stock,KYG5258L1041,KYG5258L1041,core,primary_listing,HKEX::06805
HKEX::06806,06806,HKEX,Stock,CNE100003K53,CNE100003K53,core,primary_listing,HKEX::06806
HKEX::06808,06808,HKEX,Stock,HK0000083920,HK0000083920,core,primary_listing,HKEX::06808
HKEX::06809,06809,HKEX,Stock,CNE100007DX6,CNE100007DX6,core,primary_listing,HKEX::06809
HKEX::06811,06811,HKEX,Stock,KYG866191060,KYG866191060,core,primary_listing,HKEX::06811
HKEX::06812,06812,HKEX,Stock,KYG971751063,KYG971751063,core,primary_listing,HKEX::06812
HKEX::06816,06816,HKEX,Stock,KYG7279E1017,KYG7279E1017,core,primary_listing,HKEX::06816
HKEX::06818,06818,HKEX,Stock,CNE100001QW3,CNE100001QW3,core,primary_listing,HKEX::06818
HKEX::06820,06820,HKEX,Stock,KYG371BT1022,KYG371BT1022,core,primary_listing,HKEX::06820
HKEX::06821,06821,HKEX,Stock,CNE100004Z06,CNE100004Z06,core,primary_listing,HKEX::06821
HKEX::06822,06822,HKEX,Stock,KYG5258R1011,KYG5258R1011,core,primary_listing,HKEX::06822
HKEX::06823,06823,HKEX,Stock,HK0000093390,HK0000093390,core,primary_listing,HKEX::06823
HKEX::06826,06826,HKEX,Stock,CNE100001W69,CNE100001W69,core,primary_listing,HKEX::06826
HKEX::06828,06828,HKEX,Stock,BMG095871098,BMG095871098,core,primary_listing,HKEX::06828
HKEX::06829,06829,HKEX,Stock,KYG2831B1178,KYG2831B1178,core,primary_listing,HKEX::06829
HKEX::06830,06830,HKEX,Stock,KYG4657L1041,KYG4657L1041,core,primary_listing,HKEX::06830
HKEX::06831,06831,HKEX,Stock,KYG4102B1077,KYG4102B1077,core,primary_listing,HKEX::06831
HKEX::06833,06833,HKEX,Stock,KYG8154Y1052,KYG8154Y1052,core,primary_listing,HKEX::06833
HKEX::06838,06838,HKEX,Stock,KYG971741098,KYG971741098,core,primary_listing,HKEX::06838
HKEX::06839,06839,HKEX,Stock,CNE100001WB5,CNE100001WB5,core,primary_listing,HKEX::06839
HKEX::06855,06855,HKEX,Stock,KYG0519B1023,KYG0519B1023,extended,secondary_cross_listing,NASDAQ::AAPG
HKEX::06858,06858,HKEX,Stock,KYG459461037,KYG459461037,core,primary_listing,HKEX::06858
HKEX::06860,06860,HKEX,Stock,KYG3R10G1007,KYG3R10G1007,core,primary_listing,HKEX::06860
HKEX::06862,06862,HKEX,Stock,KYG4290A1013,KYG4290A1013,core,primary_listing,HKEX::06862
