financialdata_symbol,base_ticker,suffix,mapped_exchange,registrant_name,source_confidence,review_needed,observed_at,match_status,recommended_action,current_universe,review_scope,quality_gate,listing_keys,matched_names,same_ticker_listing_keys,same_ticker_exchanges,name_match_count,name_mismatch_count
GPIV33.SA,GPIV33,.SA,B3,"GP Investments, Ltd",secondary_review,true,2026-04-17T07:41:14Z,missing_from_database,review_missing_listing_no_isin_from_secondary_source,true,current_exchange_gap,needs_official_source_or_isin,,,,,0,0
GSHP3.SA,GSHP3,.SA,B3,General Shopping Brasil S.A.,secondary_review,true,2026-04-17T07:41:14Z,matched_exchange_name_ok,keep_as_secondary_reference,true,secondary_reference,usable_secondary_reference,B3::GSHP3,GENERAL SHOPPING E OUTLETS DO BRASIL S.A.,B3::GSHP3,B3,1,0
HYPE3.SA,HYPE3,.SA,B3,Hypera S.A.,secondary_review,true,2026-04-17T07:41:14Z,matched_exchange_name_ok,keep_as_secondary_reference,true,secondary_reference,usable_secondary_reference,B3::HYPE3,HYPERA S.A.,B3::HYPE3,B3,1,0
IGTI3.SA,IGTI3,.SA,B3,Iguatemi Empresa de Shopping Centers S.A.,secondary_review,true,2026-04-17T07:41:14Z,matched_exchange_name_ok,keep_as_secondary_reference,true,secondary_reference,usable_secondary_reference,B3::IGTI3,IGUATEMI S.A.,B3::IGTI3,B3,1,0
ISAE3.SA,ISAE3,.SA,B3,Companhia de Transmissão de Energia Elétrica Paulista,secondary_review,true,2026-04-17T07:41:14Z,matched_exchange_name_ok,keep_as_secondary_reference,true,secondary_reference,usable_secondary_reference,B3::ISAE3,ISA ENERGIA BRASIL S.A,B3::ISAE3,B3,1,0
ITSA3.SA,ITSA3,.SA,B3,Itaúsa Investimentos Itaú S.A.,secondary_review,true,2026-04-17T07:41:14Z,matched_exchange_name_ok,keep_as_secondary_reference,true,secondary_reference,usable_secondary_reference,B3::ITSA3,ITAUSA S.A.,B3::ITSA3,B3,1,0
ITUB3.SA,ITUB3,.SA,B3,Itaú Unibanco S.A.,secondary_review,true,2026-04-17T07:41:14Z,matched_exchange_name_ok,keep_as_secondary_reference,true,secondary_reference,usable_secondary_reference,B3::ITUB3,ITAU UNIBANCO HOLDING S.A.,B3::ITUB3,B3,1,0
JBSS3.SA,JBSS3,.SA,B3,JBS S.A.,secondary_review,true,2026-04-17T07:41:14Z,missing_from_database,review_missing_listing_no_isin_from_secondary_source,true,current_exchange_gap,needs_official_source_or_isin,,,,,0,0
JSLG3.SA,JSLG3,.SA,B3,JSL S.A.,secondary_review,true,2026-04-17T07:41:14Z,matched_exchange_name_ok,keep_as_secondary_reference,true,secondary_reference,usable_secondary_reference,B3::JSLG3,JSL S.A.,B3::JSLG3,B3,1,0
KLBN3.SA,KLBN3,.SA,B3,Klabin S.A.,secondary_review,true,2026-04-17T07:41:14Z,matched_exchange_name_ok,keep_as_secondary_reference,true,secondary_reference,usable_secondary_reference,B3::KLBN3,KLABIN S.A.,B3::KLBN3,B3,1,0
