ticker,exchange,asset_type,name,sec_security_type,sec_name,sec_symbol,sec_isin_local,decision
RML,SET,Stock,RAIMON LAND PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท ไรมอน แลนด์ จำกัด (มหาชน),RML,TH0364010Y01,accept
ROCK,SET,Stock,ROCKWORTH PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท ร้อกเวิธ จำกัด (มหาชน),ROCK,TH0416010005,accept
RPH,SET,Stock,RATCHAPHRUEK HOSPITAL PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท โรงพยาบาลราชพฤกษ์ จำกัด (มหาชน),RPH,TH7757010007,accept
RSP,SET,Stock,RICH SPORT PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท ริช สปอร์ต จำกัด (มหาชน),RSP,TH8289010002,accept
S,SET,Stock,SINGHA ESTATE PUBLIC COMPANY LIMITED,,,,,no_sec_isin_match
SA,SET,Stock,SIAMESE ASSET PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท ไซมิส แอสเสท จำกัด (มหาชน),SA,THA083010001,accept
SAT,SET,Stock,SOMBOON ADVANCE TECHNOLOGY PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท สมบูรณ์ แอ๊ดวานซ์ เทคโนโลยี จำกัด (มหาชน),SAT,TH0823010002,accept
SCI,SET,Stock,SCI ELECTRIC PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท เอสซีไอ อีเลคตริค จำกัด (มหาชน),SCI,TH6809010007,accept
SCM,SET,Stock,SUCCESSMORE BEING PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท ซัคเซสมอร์ บีอิ้งค์ จำกัด (มหาชน),SCM,TH9881010002,accept
SCN,SET,Stock,SCAN INTER PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท สแกน อินเตอร์ จำกัด (มหาชน),SCN,TH6285010000,accept
SCP,SET,Stock,SOUTHERN CONCRETE PILE PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท ทักษิณคอนกรีต จำกัด (มหาชน),SCP,TH0240010Z02,accept
SFT,SET,Stock,SHRINKFLEX (THAILAND) PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท ชริ้งเฟล็กซ์ (ประเทศไทย) จำกัด (มหาชน),SFT,TH9975010009,accept
