source_id,source_key,provider,source_url,authority_level,reference_scope,license_status,license_name,license_url,derived_facts_redistribution_status,raw_redistribution_allowed,attribution_required,commercial_use_status,terms_version,terms_sha256,license_reviewed_at,freshness_sla_days,enabled
443f8a99-470d-5b17-a35b-36637ea4100d,deutsche_boerse_xetra_all_tradable_equities,Deutsche Boerse,https://www.cashmarket.deutsche-boerse.com/resource/blob/1528/b52ea43a2edac92e8283d40645d1c076/data/t7-xetr-allTradableInstruments.csv,official,exchange_directory,review_required,,,review_required,false,review_required,review_required,,,,7,true
5e9ae76c-47ca-596e-b543-20cb3c41e34a,dfm_listed_securities,DFM,https://www.dfm.ae/issuers/listed-securities/company-profile-page,official,exchange_directory,verified_restricted,DFM Website Disclaimer,https://www.dfm.ae/other/disclaimer,restricted,false,required,restricted,dfm-ae-other-disclaimer,941665ba208e0175e9425f45be7b299f8aa6eb75d0439a3ca3e38ff9c2f99af2,2026-08-20T18:05:00Z,7,true
193776cb-9432-515b-8804-23a14ae61e34,dse_tz_listed_companies,DSE Tanzania,https://dse.co.tz/listed/company/list,official,listed_companies_subset,review_required,,,review_required,false,review_required,review_required,,,,30,true
82c7934b-67c8-57a5-b7db-0c316e936ef2,egx_listed_stocks,EGX,https://www.egx.com.eg/en/ListedStocks.aspx,official,listed_companies_subset,review_required,,,review_required,false,review_required,review_required,,,,30,true
5a56412d-10f2-5675-99ca-9a208769b61f,euronext_equities,Euronext,https://live.euronext.com/pd_es/data/stocks/download?mics=dm_all_stock,official,exchange_directory,verified_restricted,Euronext Website Terms of Use,https://www.euronext.com/en/terms-use,restricted,false,required,restricted,euronext-com-en-terms-use,b1aedf9d14a40405b524f6eaba2a7f6f079f89ec71c5f1d5d265ee94947f8fc1,2026-08-20T17:50:00Z,7,true
d2c1af11-3f86-5deb-8ed5-8b8ce7a54f62,euronext_etfs,Euronext,"https://live.euronext.com/en/product_directory/data/etf-all-markets/download?mics=ALXA,ALXB,ALXL,ALXP,ATFX,BGEM,ENXB,ENXL,ETFP,ETLX,EXGM,MERK,MIVX,MLXB,MOTX,MTAA,MTAH,MTCH,SEDX,TNLA,TNLB,VPXB,WOMF,XACD,XAMC,XAMS,XATL,XBRU,XDUB,XESM,XLDN,XLIS,XMLI,XMOT,XMSM,XOAM,XOAS,XOBD,XOSL,XPAR,XPMC",official,listed_companies_subset,verified_restricted,Euronext Website Terms of Use,https://www.euronext.com/en/terms-use,restricted,false,required,restricted,euronext-com-en-terms-use,b1aedf9d14a40405b524f6eaba2a7f6f079f89ec71c5f1d5d265ee94947f8fc1,2026-08-20T17:50:00Z,30,true
656c98f8-8b02-5f21-b22a-50d6947a85a4,gleif_enrichment,GLEIF,https://www.gleif.org/en/lei-data/gleif-concatenated-file/download-the-concatenated-file,registry,identifier_enrichment,review_required,,,review_required,false,review_required,review_required,,,,30,true
c16782c8-dd37-556a-b2b2-fe0d2a7c3b3a,gse_listed_companies,GSE,https://gse.com.gh/listed-companies/,official,listed_companies_subset,review_required,,,review_required,false,review_required,review_required,,,,30,true
edebe019-38f7-5e30-af44-a28604e495f8,hkex_securities_list,HKEX,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,official,exchange_directory,review_required,,,review_required,false,review_required,review_required,,,,7,true
7ba8462e-fe00-5707-b937-243ec8183147,hnx_listed_securities,HNX,https://www.hnx.vn/cophieu-etfs/chung-khoan-ny.html,official,exchange_directory,review_required,,,review_required,false,review_required,review_required,,,,7,true
0008d0dd-8e1c-5643-b98f-8bccaa11ab92,hose_etf_list,HOSE,https://api.hsx.vn/l/api/v1/2/securities/etf,official,listed_companies_subset,review_required,,,review_required,false,review_required,review_required,,,,30,true
a9ae5a14-6e5c-5f78-ab2b-a25f17d369eb,hose_fund_certificate_list,HOSE,https://api.hsx.vn/l/api/v1/2/securities/fundcertificate,official,listed_companies_subset,review_required,,,review_required,false,review_required,review_required,,,,30,true
d4a56f2e-c4bf-5d9f-a29d-7259c1590ef4,hose_listed_stocks,HOSE,https://api.hsx.vn/l/api/v1/2/securities/stock,official,listed_companies_subset,review_required,,,review_required,false,review_required,review_required,,,,30,true
29f3f099-07d8-5fa4-ab5a-7a4061780d7b,identifier_quarantine,identifier_quarantine,internal://event/identifier_quarantine,review,listing_event,internal,,,allowed,false,none,allowed,,,,30,true
03b3fc10-58cd-546b-b4c4-c949421c30c9,idx_company_profiles,IDX,https://www.idx.id/primary/ListedCompany/GetCompanyProfiles,official,exchange_directory,review_required,,,review_required,false,review_required,review_required,,,,7,true
42a035a9-b609-51f4-8a4b-913530c99f53,idx_listed_companies,IDX,https://www.idx.id/primary/StockData/GetSecuritiesStock,official,listed_companies_subset,review_required,,,review_required,false,review_required,review_required,,,,30,true
f096b060-167c-568d-800d-6f575413f3b0,internal_current_snapshot,Canonical current snapshot,internal://current-snapshot,review,current_snapshot,internal,,,allowed,false,none,allowed,,,,30,true
b9bc8541-8fc0-518f-ad46-fe9973a08747,internal_history,Canonical listing history,internal://listing-history,review,listing_history,internal,,,allowed,false,none,allowed,,,,30,true
4d786fe5-cce5-51dc-99a8-61c76dc823fc,jpx_listed_issues,JPX,https://www.jpx.co.jp/english/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_e.xls,official,exchange_directory,review_required,,,review_required,false,review_required,review_required,,,,7,true
03ed7122-6ad2-5d04-8039-d90cd9fa1296,jpx_tse_stock_detail,JPX,https://quote.jpx.co.jp/jpxhp/jcgi/wrap/qjsonp.aspx?F=ctl/stock_detail&qcode=,official,security_identifier_registry_subset,review_required,,,review_required,false,review_required,review_required,,,,30,true
1f175566-75d8-5ecb-bf86-1083751f990d,jse_etf_list,JSE,https://www.jse.co.za/trade/equities-market/exchange-traded-products,official,listed_companies_subset,review_required,,,review_required,false,review_required,review_required,,,,30,true
1d05916e-5708-5f71-adfb-3f56e9036376,jse_etn_list,JSE,https://www.jse.co.za/trade/equities-market/exchange-traded-products,official,listed_companies_subset,review_required,,,review_required,false,review_required,review_required,,,,30,true
8913a8f1-26cd-5011-8290-deb7ec417067,jse_instrument_search,JSE,https://www.jse.co.za/search,official,listed_companies_subset,review_required,,,review_required,false,review_required,review_required,,,,30,true
